feature,hard_mean,easy_mean,mean_diff (easy-hard),hard_std,easy_std,ks_stat,ks_pvalue,wasserstein_dist,hard_batches,easy_batches
RNA_sat_low,0.4311515203475079,0.2843311785550983,-0.1468203417924096,0.3774402598993474,0.33753824817309064,0.18833333333333332,1.025484566617404e-09,0.147131715820759,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
AGP_sat_low,0.4673975022862368,0.38826312299954274,-0.07913437928669403,0.23449281335635588,0.24568064443284074,0.16666666666666666,1.0839620047069197e-07,0.08070600708733425,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
ER_sat_low,0.1849708447645176,0.10683797439414723,-0.07813287037037038,0.2221655312978135,0.19982948054835062,0.3,3.1952567651109495e-24,0.0792100422953818,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
DNA_sat_low,0.4384607624599909,0.36449876543209875,-0.07396199702789213,0.24474045240879821,0.2528693561919318,0.14833333333333334,3.5582386123800154e-06,0.07664350137174211,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
corr_Mito_RNA,0.4050098219762246,0.33825795993829766,-0.06675186203792693,0.14712224869365656,0.12062064549350641,0.21666666666666667,9.578208519094218e-13,0.06738890518123902,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
ER_p95,0.2140983718968927,0.2645359547374149,0.050437582840522216,0.0780156043543101,0.08970324080325501,0.25333333333333335,2.5618819265011448e-17,0.050542158022523015,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
corr_DNA_Mito,0.8113130020101865,0.7639324722190698,-0.04738052979111673,0.11084681093426811,0.09823226488976199,0.2866666666666667,4.0054505420719365e-22,0.04932102039456369,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
corr_AGP_Mito,0.7682054190337658,0.7212074614564578,-0.04699795757730807,0.12028428138361832,0.10310995866258933,0.23666666666666666,3.792741240602047e-15,0.04892704014976818,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
ER_dynamic_range,0.19297418816108247,0.23704575778140377,0.0440715696203213,0.07132517503954304,0.08032394719888435,0.25833333333333336,5.3378483600392655e-18,0.044176144800769854,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
corr_DNA_RNA,0.6423106934626898,0.6009521260857582,-0.041358567376931554,0.06376509691243028,0.06342757433760655,0.27166666666666667,6.95918994732935e-20,0.041567728817462915,"CP 32, CP 31, CP59","CP 27, CP60, CP 25"
